country;gdp
894;22147634727.3584
862;482359318767.703
860;69238903106.1738
858;59319484710.6527
842;23315080560000.0
826;3131377762925.95
818;404142766093.053
807;13825049831.7959
804;200085537744.354
795;45231428571.4286
792;819035182929.585
784;415021590683.006
764;505947037098.424
762;8746270636.40142
757;800640155387.26
752;635663801201.765
740;2984706243.65482
724;1427380681294.55
710;419015018371.887
705;61748586534.8672
703;116527101097.7
702;396986899888.351
699;3176295065497.24
694;4042237864.28942
688;63082047649.8528
682;833541236569.315
670;904181492.766708
662;1691275156.6002
646;11070356519.4804
643;1778782625793.74
642;284087563695.798
620;253663144586.019
616;679444832854.295
608;394086401171.168
604;223249497500.387
598;26594305745.554
586;348262544719.178
579;482174854481.956
566;440833583992.485
554;249885687029.634
528;1012846760976.73
516;12310595843.9353
512;88191977373.212
508;15776758632.8573
504;142866329198.42
499;5861268038.7982
498;13679221333.2052
496;15286441818.1437
484;1272839334119.3
480;11529042672.3528
478;9996249658.23982
470;17364044943.8202
458;372980957208.023
450;14472603322.5571
442;85506243833.7816
440;66445256585.3671
434;42817472975.3677
430;3509000000.0
428;39853501579.8211
417;8543423502.6134
410;1810955871380.98
404;110347079517.356
400;45744271658.9141
398;197112255360.612
392;4940877780755.33
388;14657586937.0735
380;2107702842669.73
376;488526545878.891
372;504182603275.542
368;207889333724.138
364;359713152725.063
360;1186092991320.04
348;181848022233.89
320;85985752107.4679
308;1122807407.40741
300;214873879833.648
288;77594279054.8795
276;4259934911821.64
268;18629365597.0017
266;20216843173.9702
251;2957879759263.52
246;297301883523.251
233;37191166151.98
231;111271112329.975
222;28736940000.0
218;106165866000.0
212;554181481.481481
208;398303272764.46
203;281777887121.451
196;28407867534.0035
192;107352000000.0
191;68955083280.1922
188;64282438666.739
178;13366230219.5352
174;1296089632.60039
170;314464137241.33
156;17734062645371.4
152;317058508651.76
124;1988336331717.42
120;45338283344.8175
112;68205380706.6609
104;65091751273.2879
100;84056312734.3089
96;14006569575.68
76;1608981456325.08
70;23365361635.2201
68;40408208528.1599
56;594104177539.525
51;13861409968.835
40;480368403893.364
36;1552667363236.06
32;487227339102.67
31;54622176470.5882
28;1471125925.92593
24;67404287260.3199
12;163044443983.759
8;18255787479.1846
