year;i;j;v;vright;sharev;sharev_norm
year;894;894;0.0;0.0;0.0;0.0
year;894;862;0.0;112.35;0.0004079393308557;3.256878526135575e-05
year;894;860;0.0;0.252;4.450295552778363e-07;3.552996959228595e-08
year;894;858;209.342;1148.087;0.0029526856242331;0.00023573452414657337
year;894;842;200774.1289999999;371129.6769999993;0.0091355509807222;0.0007293579599476169
year;894;826;19959.892999999985;126144.25700000006;0.0120010358318454;0.0009581306075620027
year;894;818;2112.8170000000005;15515.240000000002;0.0108108084644861;0.0008631060374662455
year;894;807;0.193;24.764000000000003;6.420102655466486e-05;5.125638273297819e-06
year;894;804;428.089;5884.085000000001;0.003723839534206;0.0002973013900937216
year;894;795;0.0;112.266;0.0003933044285552;3.140037379844018e-05
year;894;792;5805.373000000001;36839.59399999996;0.007821431984659;0.0006244422135279854
year;894;784;859403.31;1700073.0760000022;0.3313970690809347;0.02645785577110119
year;894;764;78256.74600000001;101012.472;0.0205635128609239;0.0016417358757286882
year;894;762;0.0;0.044;1.9410350878760053e-07;1.5496705068664278e-08
year;894;757;4699415.692000001;4715594.799000001;0.7252074151867216;0.057898620673852035
year;894;752;1536.6259999999986;33332.71699999998;0.0089309388099143;0.0007130222714055881
year;894;740;0.075;25.429;0.0001207409620724;9.639635525549494e-06
year;894;724;35674.30100000001;56691.05000000002;0.0072660413208052;0.0005801013081554299
year;894;710;334579.28399999946;2707098.172999996;1.174968967439992;0.09380638025031779
year;894;705;744.187;1137.467;0.0009710645084383;7.75271935263289e-05
year;894;703;212.845;1898.349;0.0008543398228068;6.820820677146679e-05
year;894;702;1433300.9010000003;1463548.9030000004;0.2647377495131704;0.02113595395762159
year;894;699;157179.84;580530.153;0.0679885273072511;0.005428022204823752
year;894;694;12.494;475.628;0.0023588685549548;0.0001883257573250833
year;894;688;199.174;321.389;0.0004035731304771;3.2220199499251395e-05
year;894;682;22372.193;66096.583;0.0164425644726032;0.0013127303766736769
year;894;670;0.0;0.105;5.78189101000073e-07;4.6161071626576633e-08
year;894;662;0.0;0.0;0.0;0.0
year;894;646;10444.733;11882.165;0.0592987598909065;0.0047342544125385695
year;894;643;6763.400000000001;24666.391;0.0032691516617828;0.00026100032628888795
year;894;642;34.754;639.558;0.0002900700245549;2.3158415053209193e-05
year;894;620;707.2850000000001;1569.1239999999998;0.0008335174364899;6.654580313129416e-05
year;894;616;10464.427999999998;20819.402999999995;0.0030602216855366;0.0002443199157073703
year;894;608;185.62;714.9709999999998;0.0003144728615691;2.5106672302188397e-05
year;894;604;72.96;5710.763;0.0047143963582879;0.0003763847979745511
year;894;598;0.0;1.6519999999999997;5.129094287126632e-06;4.094931716249829e-07
year;894;586;83035.41399999999;92571.36;0.0791264910039148;0.006317247441146286
year;894;579;875.9579999999999;2266.5019999999995;0.0008294931602455;6.622451567768845e-05
year;894;566;6978.955000000003;7611.978000000003;0.0063820643010843;0.000509526946838337
year;894;554;171.81000000000003;2747.682999999999;0.0022835021224683;0.00018230870290079308
year;894;528;22938.99000000001;97502.69099999998;0.0077369277012748;0.0006176956175245264
year;894;516;93306.64500000006;215481.73700000008;0.7949117987287846;0.06346363225190862
year;894;512;0.145;21898.848;0.0213210857230581;0.0017022184671349261
year;894;508;29770.532999999978;119676.266;0.2922527046864502;0.023332674397973943
year;894;504;935.834;21912.640000000003;0.0192487046787686;0.0015367651065344896
year;894;499;11.306;59.233;0.0002654276528031;2.1191033991345445e-05
year;894;498;0.176;0.978;3.3495187723450298e-06;2.6741662147789675e-07
year;894;496;0.0;114.579;0.0003256998523204;2.600300522047633e-05
year;894;484;147.166;7914.722000000003;0.0008319444780798;6.642022233824796e-05
year;894;480;26770.182;129436.09500000004;0.5208909656438786;0.041586541726805586
year;894;478;0.114;2625.968;0.0100154773257815;0.0007996089262320696
year;894;470;0.451;355.399;0.0009191835468761;7.338515629562697e-05
year;894;458;35025.611;119928.30200000004;0.0226380099010658;0.0018073581717793696
year;894;450;337.26399999999995;533.255;0.0021059824555248;0.0001681360074163379
year;894;442;243309.726;246871.802;0.3846362745472291;0.03070833156288083
year;894;440;41.207;2457.708;0.0024772519706578;0.00019777717265306662
year;894;434;571.537;571.537;0.0008704103628626;6.949123571357316e-05
year;894;430;8.847;8.847;2.727746362222925e-05;2.1777597500180202e-06
year;894;428;0.615;64.128;0.0001046998538896;8.358956345476535e-06
year;894;417;0.0;0.0;0.0;0.0
year;894;410;97102.296;150645.33700000003;0.0142509967100667;0.0011377614672183414
year;894;404;53806.983999999975;108792.47999999998;0.2479101683901832;0.019792484881195425
year;894;400;501.306;566.92;0.0010892078781094;8.695944422105808e-05
year;894;398;0.001;0.001;8.493604385698012e-10;6.781066604988837e-11
year;894;392;16402.73;225036.0870000001;0.0174267585460595;0.00139130579955987
year;894;388;1.397;39.555;0.0001617894257437;1.291683509298231e-05
year;894;380;69240.11799999999;109273.13100000002;0.0095416029233859;0.0007617760611829898
year;894;376;1365.694;16741.305000000008;0.0104746491192093;0.000836267974298978
year;894;372;37.04199999999999;96911.17699999994;0.0280836428822335;0.0022421229462466397
year;894;368;0.0;0.0;0.0;0.0
year;894;364;1.111;689.875;0.0011587430579281;9.251094702632713e-05
year;894;360;6961.325999999999;37254.516;0.0087424294373673;0.0006979721872144957
year;894;348;192.073;2847.420999999997;0.0009860309444362;7.87220737530552e-05
year;894;320;0.0;3.966;7.57049487201621e-06;6.04408065512337e-07
year;894;308;0.0;7.712999999999999;4.283864167924782e-05;3.4201225922810327e-06
year;894;300;44008.006;47131.578;0.0234884145690344;0.0018752522063119725
year;894;288;2213.7090000000003;2825.304;0.0056691101637267;0.00045260659509856226
year;894;276;84272.77;161823.39299999998;0.0056931858093189;0.00045452873025938654
year;894;268;135.683;1155.2820000000004;0.0034957374883089;0.00027909033274135656
year;894;266;78.051;703.9970000000002;0.0027268079773168;0.00021770105686033236
year;894;251;7606.026999999998;49314.58200000002;0.0039104233026483;0.00031219773920255844
year;894;246;1340.0450000000003;47606.46499999999;0.0262356223951608;0.0020945819325478474
year;894;233;5.497;581.7969999999999;0.0008946812390128;7.142895756006125e-05
year;894;231;211.84699999999992;2155.154;0.00659033359472;0.0005261546102870344
year;894;222;0.0;288.63699999999994;0.0008159731417111;6.514511355322848e-05
year;894;218;0.0;48.971;7.508487211988416e-05;5.994575397570287e-06
year;894;212;0.0;0.0;0.0;0.0
year;894;208;1924.875;23762.29;0.0095046625790445;0.0007588268428768952
year;894;203;544.8110000000001;4105.682999999999;0.0009386251603614;7.493732272539687e-05
year;894;196;5.116;1103.35;0.0031433007957495;0.0002509527296960405
year;894;192;0.0;янв.44;6.497855357254036e-06;5.187713951136903e-07
year;894;191;230.317;337.20300000000003;0.0004517277241611;3.6064733483636444e-05
year;894;188;46.89000000000001;67.58800000000001;0.0001350070317549;1.0778600378578664e-05
year;894;178;9316.927;9344.629;0.0329419383303684;0.0026299962627386398
year;894;174;0.0;4.026;2.1954288033929895e-05;1.752771646320957e-06
year;894;170;0.0;160.51599999999996;0.0001416327550616;1.130758040883077e-05
year;894;156;2232295.453000001;3177744.778000001;0.071218867822298;0.005685923952946281
year;894;152;3157.025;32122.168000000005;0.0164589056943629;0.0013140350161191638
year;894;124;106857.549;118560.791;0.0123349382026176;0.0009847884799204397
year;894;120;1.369;14.843999999999998;5.069071482013598e-05;4.047011113781564e-06
year;894;112;5.5520000000000005;81.15200000000003;9.081229522145377e-05;7.250210799616612e-06
year;894;104;375.142;375.198;0.0006359973918537;5.077633097700135e-05
year;894;100;340.51800000000003;1563.757;0.0014825439146154;0.00011836234151376391
year;894;96;0.0;3.161;8.620771881841745e-06;6.88259373318807e-07
year;894;76;1654.936;15244.873999999996;0.0030114716702093;0.00024042784485126483
year;894;70;14.628;15.61;3.846321636793997e-05;3.0708003362186644e-06
year;894;68;0.0;2.661;7.248405352102791e-06;5.786932995764582e-07
year;894;56;23563.107000000007;76258.46999999994;0.0087181288857886;0.0006960320961611545
year;894;51;159.04600000000002;159.94100000000003;0.0006006993459408;4.795822938559248e-05
year;894;40;5595.469;9356.144;0.0022572057133889;0.00018020926792193173
year;894;36;9958.328999999998;69118.935;0.0120375256103389;0.0009610438538957073
year;894;32;165.36900000000003;8252.918000000001;0.0060517208856677;0.00048315321195810845
year;894;31;0.026;3.795;7.281330426419089e-06;5.813219494614114e-07
year;894;28;0.0;12.012;6.341518176934554e-05;5.062898527149453e-06
year;894;24;2926.891;2995.5660000000003;0.0047694459943508;0.0003807798137036977
year;894;12;492.594;492.594;0.0005764588804088;4.602293544153719e-05
year;894;8;0.0;2.116;7.355383148800419e-06;5.872341207840374e-07
year;862;894;112.35;112.35;0.0004079393308557;3.256878526135575e-05
year;862;862;0.0;0.0;0.0;0.0
year;862;860;0.001;678.459;0.0013945094988202;0.00011133390917891515
year;862;858;22.003000000000004;34473.54699999998;0.1115305403281575;0.008904300084062327
year;862;842;309564.6469999999;1857685.125000003;0.0458178154616905;0.0036579718601442443
year;862;826;31612.895;51085.34499999999;0.0048972752602362;0.00039098536045008633
year;862;818;0.0;0.0;0.0;0.0
year;862;807;25.027;118.376;0.0003868585247532;3.088575007656877e-05
year;862;804;657.0490000000001;5699.905999999999;0.0037989762614552;0.00030330010546614515
year;862;795;0.0;0.0;0.0;0.0
year;862;792;462983.576;762224.763;0.164614931125655;0.01314241588669168
year;862;784;11710.571000000002;48559.38300000001;0.0096151757752881;0.000767649920929835
year;862;764;23137.101000000017;35262.51800000002;0.0072969729780618;0.0005825708089531463
year;862;762;0.0;0.0;0.0;0.0
year;862;757;2089.798000000001;35045.335000000014;0.0054565009603004;0.0004356324448580001
